latitude,longitude,floorSize,url,price,date
30.23085,-97.69303,927,https://www.zillow.com/homedetails/6807-Suena-Dr-A-Austin-TX-78741/2078346135_zpid/,"$325,000",1606197600.0
30.259784,-97.670492,"1,657",https://www.zillow.com/homedetails/7108-Hester-Rd-Austin-TX-78725/119632118_zpid/,"$415,000",1606197600.0
30.169026,-97.818474,"1,865",https://www.zillow.com/homedetails/10040-Alley-May-Dr-Austin-TX-78748/119625975_zpid/,"$365,000",1606111200.0
30.170852,-97.810526,"2,035",https://www.zillow.com/homedetails/1004-Totis-Rd-150-Austin-TX-78748/251029772_zpid/,"$375,000",1606111200.0
30.21368,-97.824836,"1,483",https://www.zillow.com/homedetails/6705-Side-Saddle-St-Austin-TX-78745/58314765_zpid/,"$565,000",1606111200.0
30.232516,-97.852366,"1,228",https://www.zillow.com/homedetails/5514-Honey-Dew-Ter-Austin-TX-78749/29479060_zpid/,"$370,000",1606111200.0
30.460046,-97.681369,"2,045",https://www.zillow.com/homedetails/3232-Texas-Topaz-Dr-Austin-TX-78728/29454531_zpid/,"$341,000",1606111200.0
30.264527,-97.805214,"3,233",https://www.zillow.com/homedetails/1804-Mistywood-Dr-Austin-TX-78746/29326142_zpid/,$1.20M,1606111200.0
30.155282,-97.757726,"1,844",https://www.zillow.com/homedetails/8808-Whitter-Dr-A-Austin-TX-78747/2078491400_zpid/,"$321,341",1605852000.0
30.373154,-97.882262,"3,350",https://www.zillow.com/homedetails/11917-Portofino-Dr-Austin-TX-78732/29356927_zpid/,"$626,000",1605852000.0
30.367679,-97.733404,"1,500",https://www.zillow.com/homedetails/3001-Stanwood-Dr-Austin-TX-78757/29428277_zpid/,"$565,000",1605852000.0
30.282278,-97.869876,"5,577",https://www.zillow.com/homedetails/8408-Hickory-Creek-Dr-Austin-TX-78735/29331269_zpid/,$1.85M,1605852000.0
30.34362,-97.72684,"1,722",https://www.zillow.com/homedetails/1509-Piedmont-Ave-Austin-TX-78757/29418227_zpid/,"$599,900",1605852000.0
30.266259,-97.749883,"3,643",https://www.zillow.com/homedetails/202-Nueces-St-2902-Austin-TX-78701/306645220_zpid/,$3.70M,1605852000.0
30.23172,-97.592415,"1,538",https://www.zillow.com/homedetails/3208-Etheredge-Dr-Austin-TX-78725/70345703_zpid/,"$222,700",1605852000.0
30.218614,-97.766432,739,https://www.zillow.com/homedetails/4361-S-Congress-Ave-UNIT-225-Austin-TX-78745/241938613_zpid/,"$290,009",1605852000.0
30.438357,-97.675361,"2,253",https://www.zillow.com/homedetails/1724-Gaylord-Dr-Austin-TX-78728/29448021_zpid/,"$340,000",1605852000.0
30.290188,-97.681703,"1,344",https://www.zillow.com/homedetails/3404-Touchstone-St-Austin-TX-78723/29396652_zpid/,"$505,500",1605852000.0
30.156748,-97.839151,"3,743",https://www.zillow.com/homedetails/11304-Pickard-Ln-Austin-TX-78748/58317388_zpid/,"$370,000",1605765600.0
30.275222,-97.687381,"1,505",https://www.zillow.com/homedetails/4706-Santa-Anna-St-UNIT-1-Austin-TX-78721/305428671_zpid/,"$450,000",1605765600.0
30.309653,-97.688609,"1,776",https://www.zillow.com/homedetails/2018-Northridge-Dr-Austin-TX-78723/29404072_zpid/,"$600,000",1605765600.0
30.208016,-97.8527,"1,416",https://www.zillow.com/homedetails/4507-Velasco-Pl-Austin-TX-78749/29495888_zpid/,"$396,000",1605765600.0
30.196293,-97.853548,"2,112",https://www.zillow.com/homedetails/9101-Ovalla-Dr-Austin-TX-78749/64827964_zpid/,"$470,000",1605765600.0
30.328432,-97.737389,"3,111",https://www.zillow.com/homedetails/5505-William-Holland-Ave-Austin-TX-78756/29413028_zpid/,"$692,000",1605765600.0
30.145543,-97.811831,"2,269",https://www.zillow.com/homedetails/301-Middle-Ground-Cv-Austin-TX-78748/60135688_zpid/,"$376,000",1605679200.0
30.176479,-97.800945,"1,447",https://www.zillow.com/homedetails/705-Minturn-Ln-Austin-TX-78748/29509111_zpid/,"$393,000",1605679200.0
30.44789,-97.686835,"2,047",https://www.zillow.com/homedetails/2904-Sydney-Dr-Austin-TX-78728/29451109_zpid/,"$355,000",1605679200.0
30.369036,-97.672572,"1,777",https://www.zillow.com/homedetails/10901-Sherry-Lee-Cv-Austin-TX-78753/29429271_zpid/,"$319,000",1605679200.0
30.232096,-97.716875,"1,368",https://www.zillow.com/homedetails/1901-Crossing-Pl-APT-2102-Austin-TX-78741/64437280_zpid/,"$200,000",1605679200.0
30.4398,-97.791396,"3,546",https://www.zillow.com/homedetails/9006-Balcones-Club-Dr-Austin-TX-78750/2080279401_zpid/,"$650,000",1605679200.0
